Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.6978789567947388,0.5852246284484863,0.3388928472995758,0.4409250020980835
2,0.6573486328125,0.5679585933685303,0.38155001401901245,0.4463333189487457
3,0.6479545831680298,0.5615758895874023,0.3613964319229126,0.42022499442100525
4,0.6429687142372131,0.5590879321098328,0.3344142735004425,0.3617166578769684
5,0.6409059762954712,0.558495044708252,0.3247714340686798,0.38354167342185974
6,0.6405379772186279,0.5563510060310364,0.3214249908924103,0.3453499972820282
7,0.6400070786476135,0.5562277436256409,0.3222714364528656,0.3150666654109955
8,0.6395998001098633,0.5526023507118225,0.32877498865127563,0.34298333525657654
9,0.6393052339553833,0.5571213364601135,0.3188607096672058,0.33215001225471497
10,0.6410388350486755,0.5537559986114502,0.3131571412086487,0.33283331990242004
11,0.6416056156158447,0.5538866519927979,0.31932857632637024,0.3484500050544739
12,0.6414926052093506,0.5534380078315735,0.3345857262611389,0.3518750071525574
13,0.6407028436660767,0.5529856085777283,0.3306785821914673,0.3243333399295807
14,0.6402327418327332,0.559093713760376,0.3280678689479828,0.3612250089645386
15,0.6408800482749939,0.5569534301757812,0.32487499713897705,0.34810832142829895
16,0.6404244303703308,0.5538127422332764,0.3230142891407013,0.33495834469795227
17,0.6424735188484192,0.5607191324234009,0.3149142861366272,0.32766667008399963
18,0.644253671169281,0.5633603930473328,0.3138464391231537,0.3392166793346405
19,0.6455455422401428,0.5579708218574524,0.30686071515083313,0.31973332166671753
20,0.642249345779419,0.5615481734275818,0.3095107078552246,0.3178083300590515
21,0.6435149908065796,0.5647621750831604,0.3049321472644806,0.31386667490005493
22,0.6453394293785095,0.5614385008811951,0.30512142181396484,0.3036583364009857
23,0.6437453031539917,0.5601208209991455,0.307364284992218,0.3119083344936371
24,0.6431305408477783,0.5642275214195251,0.30617856979370117,0.3007333278656006
25,0.6456360816955566,0.5595072507858276,0.2947714328765869,0.31630831956863403
26,0.6444221138954163,0.5628421306610107,0.2922535836696625,0.29624998569488525
27,0.645881175994873,0.5598077178001404,0.2945750057697296,0.3143916726112366
28,0.6445523500442505,0.5660915970802307,0.2980142831802368,0.3082333207130432
29,0.6457388997077942,0.56455397605896,0.30146071314811707,0.32091665267944336
30,0.6450231075286865,0.5638161301612854,0.3002749979496002,0.3151416778564453
