Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.7051005363464355,0.5831565260887146,0.27270713448524475,0.34815001487731934
2,0.6606367230415344,0.571539044380188,0.3125250041484833,0.3493083417415619
3,0.6512871384620667,0.5664212107658386,0.3116571307182312,0.3351750075817108
4,0.6447674036026001,0.5677788853645325,0.3067428469657898,0.31208333373069763
5,0.6409162282943726,0.5690853595733643,0.3094964325428009,0.3209083378314972
6,0.6377628445625305,0.5640193223953247,0.3099285662174225,0.3301750123500824
7,0.6342876553535461,0.5650087594985962,0.3164714276790619,0.3270333409309387
8,0.6318149566650391,0.5665013194084167,0.3116321563720703,0.2999333441257477
9,0.6300103068351746,0.5620793700218201,0.3100142776966095,0.31934165954589844
10,0.6286716461181641,0.5649392604827881,0.3116999864578247,0.32280001044273376
11,0.628186047077179,0.569597601890564,0.3095000088214874,0.289900004863739
12,0.6269280910491943,0.570452094078064,0.31012141704559326,0.2916833460330963
13,0.6262098550796509,0.5634319186210632,0.3085678517818451,0.30305832624435425
14,0.6256006360054016,0.5600348114967346,0.30821070075035095,0.3082333207130432
15,0.6253780722618103,0.5669147372245789,0.3098214268684387,0.30799999833106995
16,0.6251566410064697,0.5628779530525208,0.3077928423881531,0.3108749985694885
17,0.6236109137535095,0.5804587602615356,0.3209928572177887,0.3285999894142151
18,0.6216224431991577,0.5724450945854187,0.3319892883300781,0.343666672706604
19,0.6203253865242004,0.5641404390335083,0.3386678695678711,0.3417166769504547
20,0.6192060708999634,0.5712204575538635,0.3389035761356354,0.33752501010894775
21,0.619157075881958,0.5599081516265869,0.3345714211463928,0.33565834164619446
22,0.6186051964759827,0.5652101039886475,0.33145713806152344,0.33736667037010193
23,0.6178736090660095,0.5678382515907288,0.3311857283115387,0.3374750018119812
24,0.6173803806304932,0.570751965045929,0.32952141761779785,0.32655832171440125
25,0.6169315576553345,0.5672748684883118,0.33239999413490295,0.34021666646003723
26,0.6165546774864197,0.5659552812576294,0.33082857728004456,0.336941659450531
27,0.6162599325180054,0.5662252306938171,0.32624998688697815,0.3343583345413208
28,0.6162614822387695,0.5554452538490295,0.3295142948627472,0.34480834007263184
29,0.6161708235740662,0.5649498105049133,0.3254678547382355,0.3330250084400177
30,0.6154841184616089,0.5690645575523376,0.3242785632610321,0.3200916647911072
