Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.17324428260326385,0.15932774543762207,0.5708642601966858,0.6657999753952026
2,0.1489560902118683,0.15717485547065735,0.6408500075340271,0.584891676902771
3,0.14635005593299866,0.1518155336380005,0.6317928433418274,0.5965416431427002
4,0.144830584526062,0.1528918296098709,0.6436856985092163,0.546833336353302
5,0.1438598483800888,0.14954258501529694,0.638403594493866,0.5801916718482971
6,0.14329439401626587,0.15687580406665802,0.6307714581489563,0.5694000124931335
7,0.1429121345281601,0.1525457501411438,0.6216393113136292,0.5863000154495239
8,0.1425856202840805,0.15159372985363007,0.6101178526878357,0.5529249906539917
9,0.14230431616306305,0.15113666653633118,0.6033821702003479,0.571066677570343
10,0.14201778173446655,0.150101438164711,0.593532145023346,0.5631333589553833
11,0.14174553751945496,0.15230703353881836,0.5883821249008179,0.5601750016212463
12,0.14143751561641693,0.1519339382648468,0.5839178562164307,0.5647000074386597
13,0.14110717177391052,0.1508399248123169,0.5796821713447571,0.5577916502952576
14,0.1408197581768036,0.14992639422416687,0.5851678848266602,0.5783166885375977
15,0.1406460404396057,0.1502828299999237,0.5934964418411255,0.5798083543777466
16,0.14048095047473907,0.14753401279449463,0.6041571497917175,0.5803750157356262
17,0.14031706750392914,0.15321572124958038,0.6082928776741028,0.5910750031471252
18,0.14015717804431915,0.14741910994052887,0.6187393069267273,0.5936166644096375
19,0.14009635150432587,0.14895129203796387,0.6242428421974182,0.6115166544914246
20,0.14000998437404633,0.14937862753868103,0.6343643069267273,0.6291499733924866
21,0.13994307816028595,0.14898239076137543,0.6409571170806885,0.6395666599273682
22,0.1398850381374359,0.14883103966712952,0.6573749780654907,0.6274333596229553
23,0.13983531296253204,0.15113145112991333,0.6621571183204651,0.6289583444595337
24,0.13978688418865204,0.15083704888820648,0.6691035628318787,0.641700029373169
25,0.1397203505039215,0.14944392442703247,0.6726035475730896,0.6334499716758728
26,0.1396072804927826,0.1489311158657074,0.6745571494102478,0.6394249796867371
27,0.1395241767168045,0.14955183863639832,0.6757321357727051,0.6367583274841309
28,0.1394832581281662,0.14759691059589386,0.6801321506500244,0.6358833312988281
29,0.1394454389810562,0.1480659544467926,0.6803749799728394,0.6444166898727417
30,0.13935363292694092,0.1493152678012848,0.6804214119911194,0.6417916417121887
