Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.7011487483978271,0.592622697353363,0.2568607032299042,0.27910834550857544
2,0.6656351685523987,0.5763512849807739,0.2971142828464508,0.30117499828338623
3,0.6578096747398376,0.575186550617218,0.28960713744163513,0.28550833463668823
4,0.6543554067611694,0.5709242820739746,0.29160356521606445,0.3168666660785675
5,0.65095055103302,0.5680558085441589,0.30641427636146545,0.3436416685581207
6,0.6491416096687317,0.5668259859085083,0.31551429629325867,0.36199167370796204
7,0.6476801633834839,0.5642298460006714,0.32205358147621155,0.33582499623298645
8,0.6464207172393799,0.5632279515266418,0.32216784358024597,0.3507166802883148
9,0.6453616619110107,0.563776433467865,0.3290107250213623,0.34293332695961
10,0.6451075077056885,0.5641099214553833,0.32277143001556396,0.3247166574001312
11,0.6451281309127808,0.5645990967750549,0.32545000314712524,0.3242250084877014
12,0.6449910998344421,0.5629887580871582,0.3265392780303955,0.31119999289512634
13,0.6446078419685364,0.567725658416748,0.3249642848968506,0.3227916657924652
14,0.6443303227424622,0.5620951056480408,0.3269464373588562,0.3157833218574524
15,0.6436982750892639,0.5670376420021057,0.319350004196167,0.3023333251476288
16,0.6428003907203674,0.5643627643585205,0.3408571481704712,0.3624333441257477
17,0.6415503621101379,0.5614262819290161,0.36819642782211304,0.37950000166893005
18,0.6414443850517273,0.5605177879333496,0.3746785819530487,0.3747166693210602
19,0.6405226588249207,0.5591280460357666,0.37798571586608887,0.382874995470047
20,0.6401140093803406,0.5568292737007141,0.3787785768508911,0.36839166283607483
21,0.6392665505409241,0.5579304099082947,0.3764892816543579,0.3663833439350128
22,0.6401603817939758,0.5601449608802795,0.37481072545051575,0.3674166798591614
23,0.6403307914733887,0.5600765347480774,0.37559643387794495,0.37514999508857727
24,0.6401234865188599,0.5585633516311646,0.3776642978191376,0.3932499885559082
25,0.6396987438201904,0.5559293627738953,0.3801785707473755,0.3916333317756653
26,0.6401628851890564,0.5581007599830627,0.3774857223033905,0.39808332920074463
27,0.6403722167015076,0.5600770115852356,0.373332142829895,0.39629167318344116
28,0.6408646106719971,0.5643980503082275,0.3734678626060486,0.3796916604042053
29,0.6404130458831787,0.5605543851852417,0.3771464228630066,0.3929249942302704
30,0.64021235704422,0.5655657649040222,0.38037142157554626,0.3775666654109955
31,0.6416662931442261,0.561200737953186,0.37527143955230713,0.3804083466529846
32,0.6416027545928955,0.5726157426834106,0.3744142949581146,0.3489833474159241
33,0.642841100692749,0.5640426874160767,0.37451785802841187,0.37864166498184204
34,0.6431155204772949,0.5685979723930359,0.37318214774131775,0.3659999966621399
35,0.643027126789093,0.5661534070968628,0.3752821385860443,0.37492498755455017
36,0.6414902210235596,0.56266850233078,0.37700000405311584,0.36785000562667847
37,0.6421788930892944,0.5702144503593445,0.3746607005596161,0.3629249930381775
38,0.6443509459495544,0.5655360817909241,0.3711928427219391,0.3687083423137665
39,0.64340740442276,0.5650774836540222,0.37680715322494507,0.37800833582878113
40,0.6427180767059326,0.5660037398338318,0.3802357017993927,0.37684166431427
41,0.6419423818588257,0.5669544339179993,0.38758569955825806,0.39739999175071716
42,0.6410591006278992,0.5624372959136963,0.3871999979019165,0.38803333044052124
43,0.6408187747001648,0.5698593854904175,0.3843535780906677,0.3593583405017853
44,0.6410113573074341,0.5673702955245972,0.3812714219093323,0.41230833530426025
45,0.6405550837516785,0.5663477182388306,0.38786429166793823,0.4044416546821594
46,0.6407033205032349,0.5656775832176208,0.3875964283943176,0.3814333379268646
47,0.6405860185623169,0.5615034103393555,0.38557857275009155,0.3886333405971527
48,0.6406601667404175,0.565323531627655,0.3831678628921509,0.3866083323955536
49,0.6403355598449707,0.5736414790153503,0.3813000023365021,0.3804916739463806
50,0.640965461730957,0.5712283849716187,0.37381428480148315,0.33676666021347046
51,0.6406895518302917,0.5630059242248535,0.3752285838127136,0.36998334527015686
52,0.6415845155715942,0.561154842376709,0.37583214044570923,0.34190833568573
53,0.6413043141365051,0.562631368637085,0.37632501125335693,0.3752000033855438
54,0.640511691570282,0.5592674612998962,0.37759286165237427,0.37940001487731934
55,0.6404362916946411,0.563015878200531,0.38028213381767273,0.3687916696071625
56,0.6416963934898376,0.5738483667373657,0.3696214258670807,0.3317166566848755
57,0.6407087445259094,0.5754472613334656,0.3746321499347687,0.32692500948905945
58,0.6411128640174866,0.5617145299911499,0.3778821527957916,0.3354249894618988
59,0.6404938101768494,0.5680139064788818,0.3794785737991333,0.3430333435535431
60,0.639592707157135,0.5665664076805115,0.38109642267227173,0.3286333382129669
