Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.7042888402938843,0.5820304155349731,0.2621892988681793,0.36110833287239075
2,0.6615800261497498,0.5723084807395935,0.3158928453922272,0.4004833400249481
3,0.6521461009979248,0.5608931183815002,0.31118571758270264,0.35132500529289246
4,0.6459630727767944,0.5581971406936646,0.3000357151031494,0.33516666293144226
5,0.6418871879577637,0.560899555683136,0.2973214387893677,0.32310834527015686
6,0.6383554935455322,0.5575518012046814,0.3001892864704132,0.3373166620731354
7,0.6358450055122375,0.5578981637954712,0.30132856965065,0.3472166657447815
8,0.6341386437416077,0.5595020651817322,0.3061928451061249,0.32359999418258667
9,0.6328864693641663,0.5583371520042419,0.30411070585250854,0.3459666669368744
10,0.6316449046134949,0.5541750192642212,0.3027178645133972,0.3209083378314972
11,0.6306900978088379,0.5552681684494019,0.2869357168674469,0.30711665749549866
12,0.6305087804794312,0.5529107451438904,0.28360357880592346,0.3351583480834961
13,0.6291393041610718,0.5593916177749634,0.2891428470611572,0.32657501101493835
14,0.629236102104187,0.5540565848350525,0.2970571517944336,0.3214249908924103
15,0.629631519317627,0.5528900027275085,0.29923215508461,0.32705000042915344
16,0.6283414959907532,0.5546745657920837,0.30469998717308044,0.3280250132083893
17,0.629561185836792,0.5620007514953613,0.3129214346408844,0.3294833302497864
18,0.6280882358551025,0.5579236745834351,0.31891071796417236,0.3410166800022125
19,0.6280986070632935,0.5566412806510925,0.31543928384780884,0.3354916572570801
20,0.6273176074028015,0.5524933338165283,0.30937856435775757,0.33863332867622375
21,0.6274005770683289,0.5574820041656494,0.3086642920970917,0.3462333381175995
22,0.6276953220367432,0.5533627867698669,0.31332144141197205,0.3374166786670685
23,0.6275215744972229,0.5572112798690796,0.3098607063293457,0.33334165811538696
24,0.6270340085029602,0.550693154335022,0.30672141909599304,0.330091655254364
25,0.6270453929901123,0.5541628003120422,0.3174107074737549,0.33057498931884766
26,0.6274061799049377,0.5581204891204834,0.3141142725944519,0.32163333892822266
27,0.6277847290039062,0.5565522313117981,0.31510356068611145,0.32749998569488525
28,0.6265164017677307,0.5576516389846802,0.3204464316368103,0.32696667313575745
29,0.626419186592102,0.5544620156288147,0.3173607289791107,0.3129666745662689
30,0.6271189451217651,0.5631092190742493,0.3133107125759125,0.3344583213329315
31,0.6259903907775879,0.5581598877906799,0.31466785073280334,0.32702499628067017
32,0.6264856457710266,0.555067241191864,0.3005107045173645,0.33022499084472656
33,0.62459796667099,0.5530135631561279,0.3194071352481842,0.33164167404174805
34,0.6229918003082275,0.5498655438423157,0.3228749930858612,0.36209166049957275
35,0.6219443082809448,0.5500338077545166,0.3236214220523834,0.34975001215934753
36,0.6213501691818237,0.5483930706977844,0.32361429929733276,0.35405001044273376
37,0.6208256483078003,0.5457793474197388,0.3236035704612732,0.34980833530426025
38,0.6212084889411926,0.5465766191482544,0.31898215413093567,0.33248332142829895
39,0.6206884384155273,0.5412507057189941,0.3163571357727051,0.3338916599750519
40,0.6201369762420654,0.5457761287689209,0.3072214424610138,0.3206999897956848
41,0.621596097946167,0.5479287505149841,0.30985358357429504,0.33224165439605713
42,0.621317446231842,0.5454291105270386,0.3131857216358185,0.3264666795730591
43,0.6200365424156189,0.5420297384262085,0.31091785430908203,0.32510000467300415
44,0.6200135350227356,0.5452798008918762,0.31201428174972534,0.3316499888896942
45,0.6198088526725769,0.5409719347953796,0.31034284830093384,0.3178333342075348
46,0.6199685335159302,0.5431839227676392,0.30920714139938354,0.321150004863739
47,0.6198084950447083,0.5419019460678101,0.31232500076293945,0.3249666690826416
48,0.6193435788154602,0.5382636785507202,0.30573570728302,0.3215999901294708
49,0.620080292224884,0.5442089438438416,0.30348214507102966,0.3061000108718872
50,0.619728147983551,0.5424639582633972,0.3029285669326782,0.30457499623298645
51,0.6194937229156494,0.5423566699028015,0.3009285628795624,0.3102666735649109
52,0.6198039650917053,0.5444886684417725,0.30797499418258667,0.32954999804496765
53,0.6190802454948425,0.539884626865387,0.30600714683532715,0.32930833101272583
54,0.6189367175102234,0.5422647595405579,0.30683213472366333,0.3308583199977875
55,0.6191624999046326,0.5409308671951294,0.30716070532798767,0.32686665654182434
56,0.6190997958183289,0.5430930256843567,0.30529284477233887,0.30896666646003723
57,0.6196404099464417,0.5446935892105103,0.302142858505249,0.30375000834465027
58,0.6192853450775146,0.5418580770492554,0.30286428332328796,0.31290000677108765
59,0.6188296675682068,0.5412502884864807,0.3036428689956665,0.3090916574001312
60,0.6186930537223816,0.5410510897636414,0.2986607253551483,0.31749168038368225
